"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FCER1G",2.4140087451944e-27,-2.82568963198668,0.193,0.924,7.33303436527703e-23
"MS4A6A",1.61147393744782e-25,-2.64262135666791,0.193,0.924,4.89517437978524e-21
"CD4",1.21082707723308e-23,-2.42017727820933,0.211,0.924,3.67812941251092e-19
"C12orf75",3.1768442564584e-23,-2.39829789146016,0.253,0.924,9.65029979784367e-19
"DAB2",3.45881813565639e-23,-3.13627474342951,0.102,0.758,1.05068518506834e-18
"TXN",1.27507076980505e-21,-2.55056862562855,0.307,0.939,3.87328247743681e-17
"CTSC",1.48168766548921e-21,-2.27548633330486,0.295,0.924,4.50092262145659e-17
"JCHAIN",1.54979107204024e-21,-2.58691025396982,0.422,0.939,4.70780033953665e-17
"GZMB",1.6347380084912e-21,-2.08179272725872,0.187,0.924,4.96584364839372e-17
"RPS26",1.86548201643195e-21,1.87729400422906,0.982,0.864,5.66677472131534e-17
"CLEC4C",2.228833921412e-21,-2.42350382215451,0.139,0.803,6.77052880307323e-17
"LILRA4",2.39933737466014e-21,-2.20890134136271,0.187,0.894,7.2884671430051e-17
"RNF130",3.9530103577933e-21,-2.24252132121867,0.229,0.894,1.20080595638687e-16
"SRGN",1.32203202557731e-20,-2.13035103555337,0.337,0.924,4.0159366840962e-16
"SLAMF7",1.84710312351226e-20,-2.30084372287114,0.187,0.833,5.61094515829318e-16
"FYB1",4.4262939363395e-20,-2.59912086775186,0.217,0.833,1.34457530904185e-15
"TNFRSF21",5.95808458254708e-20,-2.55186133708711,0.157,0.773,1.80988735364033e-15
"SAMHD1",6.72965726703628e-20,-1.99172547401045,0.283,0.909,2.04426798800761e-15
"ENSG00000225885",7.90812244764286e-20,-1.9987261372387,0.181,0.848,2.40225035592047e-15
"NPC1",9.06848070562414e-20,-2.43258587497171,0.139,0.788,2.75473238394745e-15
"TGFBI",1.0914021410147e-19,-2.25062736594455,0.157,0.803,3.31535228376035e-15
"NUCB2",2.02621943635072e-19,-2.32127785765396,0.193,0.818,6.15504678180258e-15
"PTPRE",2.22811083737726e-19,-1.97053949282769,0.181,0.864,6.7683322907009e-15
"ZFAT",3.17439143913752e-19,-2.00835896496887,0.199,0.864,9.64284887466804e-15
"TYROBP",3.53394804074695e-19,-1.97366756015598,0.205,0.864,1.0735073963377e-14
"PACSIN1",4.06006981919278e-19,-2.20782678489069,0.169,0.818,1.23332740897619e-14
"P2RY14",4.52159791525414e-19,-2.18601044109035,0.217,0.848,1.37352579871675e-14
"SPCS1",5.05670267525018e-19,-1.96528255116275,0.428,0.924,1.53607457166075e-14
"HIGD1A",5.27662924406915e-19,-3.13877796485576,0.127,0.682,1.60288166547089e-14
"CCDC50",7.35158787720289e-19,-1.81034626924638,0.5,0.939,2.23319184945792e-14
"NPC2",9.30620239055491e-19,-1.99353283813136,0.301,0.909,2.82694510017886e-14
"TNFSF13B",2.51078632579795e-18,-3.00241928238467,0.108,0.667,7.62701562187643e-14
"SERPINF1",3.87876692675182e-18,-2.0135583294282,0.211,0.848,1.1782530293394e-13
"CD36",4.74051734333277e-18,-1.9568663595382,0.157,0.788,1.44002695338419e-13
"SEC61B",5.71942894533541e-18,-1.96186484955058,0.277,0.864,1.73739093072454e-13
"IRF8",5.77676721531936e-18,-1.6023398252683,0.729,0.985,1.75480857699756e-13
"TEX2",9.30290383605541e-18,-2.71011060818725,0.096,0.652,2.82594309827855e-13
"CSF2RB",1.08486051264606e-17,-2.19913974369635,0.235,0.833,3.29548077926495e-13
"PLEK",1.27520841328683e-17,-1.82825028098671,0.428,0.909,3.8737005970414e-13
"TPM2",1.59507564102269e-17,-2.70471474601784,0.108,0.667,4.84536127473463e-13
"MS4A1",2.43601626789284e-17,3.11824119585747,0.783,0.076,7.39988661697808e-13
"PLAC8",3.32259176839068e-17,-1.61723698102245,0.548,0.97,1.00930370148404e-12
"MGST2",3.51600541319104e-17,-2.7710516971266,0.12,0.667,1.06805696436504e-12
"LILRB4",3.59912891190866e-17,-1.84530357453303,0.193,0.803,1.09330738957049e-12
"RUNX2",3.73466237481865e-17,-1.54568979034284,0.187,0.803,1.13447838959866e-12
"SIRPB1",4.53291965292079e-17,-2.77991485063354,0.096,0.621,1.37696500296775e-12
"PHEX",4.84009130883544e-17,-1.90494929549911,0.175,0.788,1.47027453688494e-12
"CTSB",5.09774697775748e-17,-1.78954673331405,0.458,0.924,1.54854259943339e-12
"DNASE1L3",1.13461081078361e-16,-2.97607866496923,0.163,0.697,3.44660725991737e-12
"SCARB1",1.182616811334e-16,-3.73892714588209,0.042,0.5,3.59243508778931e-12
"ALOX5AP",1.1917081434104e-16,-2.06616528574805,0.416,0.864,3.62005182723777e-12
"HERPUD1",1.67652789623452e-16,-1.60405426240675,0.458,0.955,5.09278879039159e-12
"APP",1.75775263147081e-16,-1.70395815038703,0.337,0.924,5.33952516861888e-12
"LAMP5",2.02888459868476e-16,-2.10130781434698,0.151,0.742,6.16314274542468e-12
"IDH3A",2.11323165293513e-16,-1.92763984919925,0.265,0.848,6.41936379212105e-12
"CD79A",2.15314668324309e-16,3.25756177444821,0.759,0.152,6.54061367968754e-12
"PLD4",2.32966148776692e-16,-1.57592445823792,0.289,0.924,7.07681270138957e-12
"MPEG1",2.44017467493141e-16,-1.70387689563513,0.41,0.924,7.41251861003915e-12
