"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP5",7.9573163359293e-37,2.97056039573454,0.653,0.133,2.41719398336524e-32
"SPAG6",6.8763174514685e-27,-1.27817064365264,0.435,0.888,2.08881895223259e-22
"MT-ND3",8.52087675822335e-27,-0.46252229066322,0.992,0.996,2.58838673284551e-22
"LINC01320",2.55958490882444e-25,-1.12201030885462,0.899,0.968,7.77525107753601e-21
"ENSG00000240241",2.82279102009163e-23,2.16694308388082,0.577,0.179,8.57479228173236e-19
"LINC00486",1.19368991666451e-20,-0.745734976609407,0.964,0.993,3.62607185985177e-16
"RPL27A",6.24524334292403e-20,0.68898343417651,0.976,0.968,1.89711757028003e-15
"LINC01504",3.79333847278359e-19,-1.99222428711919,0.077,0.432,1.15230242787747e-14
"RBP1",1.67289733945085e-17,-2.61717612067646,0.121,0.439,5.08176024804983e-13
"MT-ND2",8.77211850271994e-17,-0.240572579336397,0.996,0.996,2.66470643757124e-12
"DNAJA4",1.03542059516762e-16,0.558259280181995,0.972,0.979,3.14529714194067e-12
"HLA-DQB1",2.11922947312252e-15,-2.21508583106909,0.109,0.425,6.43758337050429e-11
"RPS2",6.73159554483272e-15,0.665801583704059,0.927,0.863,2.04485677865383e-10
"RPL32",1.87429462795999e-14,0.606314661175214,0.96,0.933,5.69354479135406e-10
"ENSG00000258752",2.16122974271784e-14,0.766504104925921,0.964,0.916,6.56516758945398e-10
"TMEM176B",2.8002324280908e-14,-1.3086589018722,0.262,0.589,8.50626604681144e-10
"MGST1",2.98003208769088e-14,-1.26710128290052,0.464,0.754,9.05244347277859e-10
"RPS3A",3.15043022877587e-14,0.619102157256876,0.935,0.909,9.57006190595246e-10
"RPL37",3.18158999198469e-14,0.511523406729543,0.988,0.979,9.6647159186519e-10
"RPL37A",5.49991906621469e-14,0.538583980189771,0.968,0.94,1.67071041474404e-09
"EEF1A1",5.74686167681633e-14,0.403186205319102,1,0.996,1.7457241715665e-09
"FOS",6.70357657507447e-14,2.58788757917125,0.492,0.225,2.03634545621037e-09
"DAW1",6.83542653021806e-14,-2.66790551422688,0.044,0.295,2.07639751708434e-09
"GJA1",1.48355403722948e-13,-4.28770629968542,0.008,0.218,4.50659209889199e-09
"TACC2",1.95495965409478e-13,-0.670931357003794,0.847,0.93,5.9385809412437e-09
"AVPR1A",2.04832209187541e-13,-2.27903585880531,0.105,0.375,6.22218801848993e-09
"CD9",4.26826810815013e-13,-0.664192222640178,0.847,0.94,1.29657180321277e-08
"RPS8",6.51574957476313e-13,0.457234282321051,0.992,0.982,1.9792892483258e-08
"CP",7.26720577667236e-13,-0.554914901140672,0.964,0.993,2.20755909877976e-08
"ENSG00000230730",1.01566208821061e-12,-2.87503583159808,0.081,0.323,3.08527672535739e-08
"HLA-A",1.1414250323986e-12,0.612067925138429,0.98,0.982,3.46730682091724e-08
"SLC35F1",1.94113496965726e-12,1.96140754725088,0.427,0.182,5.89658569732785e-08
"RPS24",2.03309574839691e-12,0.429660468576843,0.984,0.989,6.1759349549053e-08
"CD46",2.45805369737042e-12,-0.567009165548037,0.919,0.954,7.46682971650212e-08
"ERRFI1",4.74340613061568e-12,-0.830946906828087,0.653,0.849,1.44090448029713e-07
"RERG",6.56589823922924e-12,-0.782645007036974,0.661,0.874,1.99452290813067e-07
"UGT2B7",7.26291875854686e-12,-0.870717923525041,0.827,0.912,2.20625683128378e-07
"BIRC3",1.36582441632074e-11,-1.04460445515758,0.456,0.733,4.1489648294575e-07
"RPL39",1.56947499833861e-11,0.485767636697774,0.972,0.968,4.7675942024532e-07
"NPM1",2.00416373802381e-11,0.423662634773888,0.984,0.989,6.08804818699493e-07
"CERNA2",2.11244367234715e-11,-0.818973207920865,0.706,0.849,6.41697014348895e-07
"C20orf96",2.14880404832578e-11,0.502476192225842,0.96,0.933,6.52742205759922e-07
"CLDN3",2.47436514000274e-11,0.767700341962508,0.915,0.856,7.51637898578633e-07
"RPS18",2.86297271787261e-11,0.528618704404756,0.956,0.912,8.69685222508162e-07
"RPL34",2.92189809139858e-11,0.357053755130062,1,0.989,8.87584983224145e-07
"TMEM176A",3.38717556879925e-11,-0.976182548698912,0.218,0.523,1.02892232253415e-06
"RPS29",3.44907093828895e-11,0.439951242007402,0.976,0.968,1.04772427892404e-06
"KCTD12",4.80833400054222e-11,3.38744168651537,0.194,0.021,1.46062761934471e-06
