Total Reads                   46986622
Total Tags                    71210947
Total Assigned Tags           70295919
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           121533301           65802015            541.43            
5'UTR_Exons         0                   0                   0.00              
3'UTR_Exons         0                   0                   0.00              
Introns             1471768983          3759535             2.55              
TSS_up_1kb          21057590            144433              6.86              
TSS_up_5kb          95879215            344006              3.59              
TSS_up_10kb         177099366           450827              2.55              
TES_down_1kb        23369863            61491               2.63              
TES_down_5kb        102580558           181473              1.77              
TES_down_10kb       184137734           283542              1.54              
=====================================================================
